duration,data_size,chunk_size,latitude,longitude,workers,threads
250.2359390049241,364098309120,194987520,182,360,16,1
265.1345167928376,364098309120,97493760,182,180,16,1
270.9262387219351,364098309120,97493760,91,360,16,1
282.6902838209644,364098309120,48746880,91,180,16,1
318.05909497709945,364098309120,24373440,91,90,16,1
453.3045875099488,364098309120,194987520,182,360,8,1
453.7682728881482,364098309120,97493760,91,360,8,1
458.4046186299529,364098309120,48746880,91,180,8,1
486.6133558759466,364098309120,97493760,182,180,8,1
579.4971393689048,364098309120,24373440,91,90,8,1
150.62018532399088,364098309120,97493760,182,180,32,1
150.73543095891364,364098309120,194987520,182,360,32,1
151.39194259792566,364098309120,97493760,91,360,32,1
154.01938722399063,364098309120,48746880,91,180,32,1
192.11756805307232,364098309120,24373440,91,90,32,1
161.92367491102775,364098309120,48746880,91,180,48,1
185.33071676595137,364098309120,24373440,91,90,48,1
248.56837146286853,364098309120,97493760,182,180,48,1
283.68316369201057,364098309120,194987520,182,360,48,1
291.19745802879333,364098309120,97493760,91,360,48,1
113.5122340049129,364098309120,194987520,182,360,48,1
119.64725647494195,364098309120,97493760,182,180,48,1
120.11546760285272,364098309120,97493760,91,360,48,1
136.98956789681688,364098309120,48746880,91,180,48,1
186.2863324349746,364098309120,24373440,91,90,48,1
168.86639688699506,364098309120,48746880,91,180,32,1
186.77098849695176,364098309120,97493760,91,360,32,1
187.2731843459187,364098309120,97493760,182,180,32,1
190.9099571451079,364098309120,24373440,91,90,32,1
199.9128275020048,364098309120,194987520,182,360,32,1
248.46866013412364,364098309120,194987520,182,360,16,1
248.5910653709434,364098309120,97493760,91,360,16,1
255.58972494699992,364098309120,48746880,91,180,16,1
306.46867373306304,364098309120,97493760,182,180,16,1
314.4214865718968,364098309120,24373440,91,90,16,1
474.008050641045,364098309120,194987520,182,360,8,1
485.87276674900204,364098309120,97493760,182,180,8,1
487.68517521908507,364098309120,48746880,91,180,8,1
511.9736493160017,364098309120,97493760,91,360,8,1
600.1398248518817,364098309120,24373440,91,90,8,1
